MEDIA_ID,MEDIA_NAME,CNT,TIME(2017/12/19 11:22:29.872),TIMETICK(f=2050785),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,
38,NewMedia2,80,1.29404,154097021126,0.69838,0.47046,0.81018,0.48386,3,1,0.76826,0.49820,1,-0.61667,0.09000,0,,0.22846,0.45743,24.06310,1.07492,1,0.48387,0.41317,24.80414,1.06720,1,0,0.00000,13,,
38,NewMedia2,131,2.11890,154098712733,0.76903,0.48873,1.31029,0.80861,4,1,0.79844,0.47403,1,-0.61667,0.09000,0,,0.23164,0.45848,24.10675,1.08510,1,0.48694,0.41485,24.94050,1.09281,1,0,0.00000,13,,
38,NewMedia2,144,2.32925,154099144125,0.57065,0.45946,2.13510,0.19415,5,1,0.26033,0.41739,1,-0.61667,0.09000,0,,0.21669,0.45722,24.40940,1.14106,1,0.47152,0.41361,26.39978,1.13238,1,0,0.00000,12,,
38,NewMedia2,186,3.00850,154100537121,0.21949,0.45445,2.39383,0.61467,6,1,0.20120,0.48351,1,-0.61667,0.09000,0,,0.21169,0.45815,23.69758,1.09035,1,0.46705,0.41331,25.46608,1.08264,1,0,0.00000,12,,
39,black,1,0.01622,154100603523,0.21867,0.45613,0.00000,0.01622,1,1,0.20328,0.49023,1,-0.61667,0.09000,0,,0.21166,0.45799,23.84618,1.07492,1,0.46689,0.41324,25.92485,1.07492,1,0,0.00000,12,,
40,cross,34,0.54987,154102759543,0.52380,0.45270,0.00000,0.54987,1,1,0.53802,0.43025,1,-0.61667,0.09000,0,,0.22033,0.45710,25.68445,1.08264,1,0.47578,0.41225,25.95941,1.07492,1,0,0.00000,12,,
41,NewMedia2,5,0.08080,154102958386,0.52413,0.44591,0.00000,0.08080,1,1,0.54763,0.43573,1,-0.61667,0.09000,0,,0.21973,0.45750,24.71179,1.08587,1,0.47507,0.41221,25.21355,1.06947,1,0,0.00000,12,,
41,NewMedia2,20,0.32356,154103456251,0.43577,0.41030,0.09714,0.22643,2,1,0.29962,0.45117,1,-0.61667,0.09000,0,,0.21253,0.45681,23.76418,1.10654,1,0.46771,0.41147,25.59494,1.10654,1,0,0.00000,12,,
41,NewMedia2,44,0.71161,154104252047,0.30877,0.44688,0.38828,0.32333,3,1,0.57536,0.46651,1,-0.61667,0.09000,0,,0.22166,0.45791,25.01361,1.06003,1,0.47681,0.41333,25.67860,1.06775,1,0,0.00000,11,,
41,NewMedia2,80,1.29497,154105448417,0.69597,0.48255,0.77641,0.51855,4,1,0.73086,0.48234,1,-0.61667,0.09000,0,,0.23022,0.45819,25.81129,1.08264,1,0.48534,0.41450,26.41381,1.09035,1,0,0.00000,11,,
